,species,island,bill_length_mm,bill_depth_mm,wing_length_mm,body_mass_g,sex
138,Philippine Hanging Parrot,Mindoro,37,16.5,185,3400,Female
139,Philippine Hanging Parrot,Mindoro,39.7,17.9,193,4250,Male
140,Philippine Hanging Parrot,Mindoro,40.2,17.1,193,3400,Female
141,Philippine Hanging Parrot,Mindoro,40.6,17.2,187,3475,Male
142,Philippine Hanging Parrot,Mindoro,32.1,15.5,188,3050,Female
143,Philippine Hanging Parrot,Mindoro,40.7,17,190,3725,Male
144,Philippine Hanging Parrot,Mindoro,37.3,16.8,192,3000,Female
145,Philippine Hanging Parrot,Mindoro,39,18.7,185,3650,Male
146,Philippine Hanging Parrot,Mindoro,39.2,18.6,190,4250,Male
147,Philippine Hanging Parrot,Mindoro,36.6,18.4,184,3475,Female
148,Philippine Hanging Parrot,Mindoro,36,17.8,195,3450,Female
149,Philippine Hanging Parrot,Mindoro,37.8,18.1,193,3750,Male
150,Philippine Hanging Parrot,Mindoro,36,17.1,187,3700,Female
151,Philippine Hanging Parrot,Mindoro,41.5,18.5,201,4000,Male
152,Kakapo,Codfish Island,46.5,17.9,192,3500,Female
153,Kakapo,Codfish Island,50,19.5,196,3900,Male
154,Kakapo,Codfish Island,51.3,19.2,193,3650,Male
155,Kakapo,Codfish Island,45.4,18.7,188,3525,Female
156,Kakapo,Codfish Island,52.7,19.8,197,3725,Male
157,Kakapo,Codfish Island,45.2,17.8,198,3950,Female
158,Kakapo,Codfish Island,46.1,18.2,178,3250,Female
159,Kakapo,Codfish Island,51.3,18.2,197,3750,Male
160,Kakapo,Codfish Island,46,18.9,195,4150,Female
161,Kakapo,Codfish Island,51.3,19.9,198,3700,Male
162,Kakapo,Codfish Island,46.6,17.8,193,3800,Female
163,Kakapo,Codfish Island,51.7,20.3,194,3775,Male
164,Kakapo,Codfish Island,47,17.3,185,3700,Female
165,Kakapo,Codfish Island,52,18.1,201,4050,Male
166,Kakapo,Codfish Island,45.9,17.1,190,3575,Female
167,Kakapo,Codfish Island,50.5,19.6,201,4050,Male
168,Kakapo,Codfish Island,50.3,20,197,3300,Male
169,Kakapo,Codfish Island,58,17.8,181,3700,Female
170,Kakapo,Codfish Island,46.4,18.6,190,3450,Female
171,Kakapo,Codfish Island,49.2,18.2,195,4400,Male
172,Kakapo,Codfish Island,42.4,17.3,181,3600,Female
173,Kakapo,Codfish Island,48.5,17.5,191,3400,Male
174,Kakapo,Codfish Island,43.2,16.6,187,2900,Female
175,Kakapo,Codfish Island,50.6,19.4,193,3800,Male
176,Kakapo,Codfish Island,46.7,17.9,195,3300,Female
177,Kakapo,Codfish Island,52,19,197,4150,Male
178,Kakapo,Codfish Island,50.5,18.4,200,3400,Female
179,Kakapo,Codfish Island,49.5,19,200,3800,Male
180,Kakapo,Codfish Island,46.4,17.8,191,3700,Female
181,Kakapo,Codfish Island,52.8,20,205,4550,Male
182,Kakapo,Codfish Island,40.9,16.6,187,3200,Female
183,Kakapo,Codfish Island,54.2,20.8,201,4300,Male
184,Kakapo,Codfish Island,42.5,16.7,187,3350,Female
185,Kakapo,Codfish Island,51,18.8,203,4100,Male
186,Kakapo,Codfish Island,49.7,18.6,195,3600,Male
187,Kakapo,Codfish Island,47.5,16.8,199,3900,Female
188,Kakapo,Codfish Island,47.6,18.3,195,3850,Female
189,Kakapo,Codfish Island,52,20.7,210,4800,Male
190,Kakapo,Codfish Island,46.9,16.6,192,2700,Female
191,Kakapo,Codfish Island,53.5,19.9,205,4500,Male
192,Kakapo,Codfish Island,49,19.5,210,3950,Male
193,Kakapo,Codfish Island,46.2,17.5,187,3650,Female
194,Kakapo,Codfish Island,50.9,19.1,196,3550,Male
195,Kakapo,Codfish Island,45.5,17,196,3500,Female
196,Kakapo,Codfish Island,50.9,17.9,196,3675,Female
197,Kakapo,Codfish Island,50.8,18.5,201,4450,Male
198,Kakapo,Codfish Island,50.1,17.9,190,3400,Female
199,Kakapo,Codfish Island,49,19.6,212,4300,Male
200,Kakapo,Codfish Island,51.5,18.7,187,3250,Male
201,Kakapo,Codfish Island,49.8,17.3,198,3675,Female
202,Kakapo,Codfish Island,48.1,16.4,199,3325,Female
203,Kakapo,Codfish Island,51.4,19,201,3950,Male
204,Kakapo,Codfish Island,45.7,17.3,193,3600,Female
205,Kakapo,Codfish Island,50.7,19.7,203,4050,Male
206,Kakapo,Codfish Island,42.5,17.3,187,3350,Female
207,Kakapo,Codfish Island,52.2,18.8,197,3450,Male
208,Kakapo,Codfish Island,45.2,16.6,191,3250,Female
209,Kakapo,Codfish Island,49.3,19.9,203,4050,Male
210,Kakapo,Codfish Island,50.2,18.8,202,3800,Male
211,Kakapo,Codfish Island,45.6,19.4,194,3525,Female
212,Kakapo,Codfish Island,51.9,19.5,206,3950,Male
213,Kakapo,Codfish Island,46.8,16.5,189,3650,Female
214,Kakapo,Codfish Island,45.7,17,195,3650,Female
215,Kakapo,Codfish Island,55.8,19.8,207,4000,Male
216,Kakapo,Codfish Island,43.5,18.1,202,3400,Female
217,Kakapo,Codfish Island,49.6,18.2,193,3775,Male
218,Kakapo,Codfish Island,50.8,19,210,4100,Male
219,Kakapo,Codfish Island,50.2,18.7,198,3775,Female
220,Eclectus Parrot,Solomon Islands,46.1,13.2,211,4500,Female
221,Eclectus Parrot,Solomon Islands,50,16.3,230,5700,Male
222,Eclectus Parrot,Solomon Islands,48.7,14.1,210,4450,Female
223,Eclectus Parrot,Solomon Islands,50,15.2,218,5700,Male
224,Eclectus Parrot,Solomon Islands,47.6,14.5,215,5400,Male
225,Eclectus Parrot,Solomon Islands,46.5,13.5,210,4550,Female
226,Eclectus Parrot,Solomon Islands,45.4,14.6,211,4800,Female
227,Eclectus Parrot,Solomon Islands,46.7,15.3,219,5200,Male
228,Eclectus Parrot,Solomon Islands,43.3,13.4,209,4400,Female
229,Eclectus Parrot,Solomon Islands,46.8,15.4,215,5150,Male
230,Eclectus Parrot,Solomon Islands,40.9,13.7,214,4650,Female
231,Eclectus Parrot,Solomon Islands,49,16.1,216,5550,Male
232,Eclectus Parrot,Solomon Islands,45.5,13.7,214,4650,Female
233,Eclectus Parrot,Solomon Islands,48.4,14.6,213,5850,Male
234,Eclectus Parrot,Solomon Islands,45.8,14.6,210,4200,Female
235,Eclectus Parrot,Solomon Islands,49.3,15.7,217,5850,Male
236,Eclectus Parrot,Solomon Islands,42,13.5,210,4150,Female
237,Eclectus Parrot,Solomon Islands,49.2,15.2,221,6300,Male
238,Eclectus Parrot,Solomon Islands,46.2,14.5,209,4800,Female
239,Eclectus Parrot,Solomon Islands,48.7,15.1,222,5350,Male
240,Eclectus Parrot,Solomon Islands,50.2,14.3,218,5700,Male
241,Eclectus Parrot,Solomon Islands,45.1,14.5,215,5000,Female
242,Eclectus Parrot,Solomon Islands,46.5,14.5,213,4400,Female
243,Eclectus Parrot,Solomon Islands,46.3,15.8,215,5050,Male
244,Eclectus Parrot,Solomon Islands,42.9,13.1,215,5000,Female
245,Eclectus Parrot,Solomon Islands,46.1,15.1,215,5100,Male
246,Eclectus Parrot,Solomon Islands,44.5,14.3,216,4100,
247,Eclectus Parrot,Solomon Islands,47.8,15,215,5650,Male
248,Eclectus Parrot,Solomon Islands,48.2,14.3,210,4600,Female
249,Eclectus Parrot,Solomon Islands,50,15.3,220,5550,Male
250,Eclectus Parrot,Solomon Islands,47.3,15.3,222,5250,Male
251,Eclectus Parrot,Solomon Islands,42.8,14.2,209,4700,Female
252,Eclectus Parrot,Solomon Islands,45.1,14.5,207,5050,Female
253,Eclectus Parrot,Solomon Islands,59.6,17,230,6050,Male
254,Eclectus Parrot,Solomon Islands,49.1,14.8,220,5150,Female
255,Eclectus Parrot,Solomon Islands,48.4,16.3,220,5400,Male
256,Eclectus Parrot,Solomon Islands,42.6,13.7,213,4950,Female
257,Eclectus Parrot,Solomon Islands,44.4,17.3,219,5250,Male
258,Eclectus Parrot,Solomon Islands,44,13.6,208,4350,Female
259,Eclectus Parrot,Solomon Islands,48.7,15.7,208,5350,Male
260,Eclectus Parrot,Solomon Islands,42.7,13.7,208,3950,Female
261,Eclectus Parrot,Solomon Islands,49.6,16,225,5700,Male
262,Eclectus Parrot,Solomon Islands,45.3,13.7,210,4300,Female
263,Eclectus Parrot,Solomon Islands,49.6,15,216,4750,Male
264,Eclectus Parrot,Solomon Islands,50.5,15.9,222,5550,Male
265,Eclectus Parrot,Solomon Islands,43.6,13.9,217,4900,Female
266,Eclectus Parrot,Solomon Islands,45.5,13.9,210,4200,Female
267,Eclectus Parrot,Solomon Islands,50.5,15.9,225,5400,Male
268,Eclectus Parrot,Solomon Islands,44.9,13.3,213,5100,Female
269,Eclectus Parrot,Solomon Islands,45.2,15.8,215,5300,Male
270,Eclectus Parrot,Solomon Islands,46.6,14.2,210,4850,Female
271,Eclectus Parrot,Solomon Islands,48.5,14.1,220,5300,Male
272,Eclectus Parrot,Solomon Islands,45.1,14.4,210,4400,Female
273,Eclectus Parrot,Solomon Islands,50.1,15,225,5000,Male
274,Eclectus Parrot,Solomon Islands,46.5,14.4,217,4900,Female
275,Eclectus Parrot,Solomon Islands,45,15.4,220,5050,Male
276,Eclectus Parrot,Solomon Islands,43.8,13.9,208,4300,Female
277,Eclectus Parrot,Solomon Islands,45.5,15,220,5000,Male
278,Eclectus Parrot,Solomon Islands,43.2,14.5,208,4450,Female
279,Eclectus Parrot,Solomon Islands,50.4,15.3,224,5550,Male
280,Eclectus Parrot,Solomon Islands,45.3,13.8,208,4200,Female
281,Eclectus Parrot,Solomon Islands,46.2,14.9,221,5300,Male
282,Eclectus Parrot,Solomon Islands,45.7,13.9,214,4400,Female
283,Eclectus Parrot,Solomon Islands,54.3,15.7,231,5650,Male
284,Eclectus Parrot,Solomon Islands,45.8,14.2,219,4700,Female
285,Eclectus Parrot,Solomon Islands,49.8,16.8,230,5700,Male
286,Eclectus Parrot,Solomon Islands,46.2,14.4,214,4650,
287,Eclectus Parrot,Solomon Islands,49.5,16.2,229,5800,Male
288,Eclectus Parrot,Solomon Islands,43.5,14.2,220,4700,Female
289,Eclectus Parrot,Solomon Islands,50.7,15,223,5550,Male
290,Eclectus Parrot,Solomon Islands,47.7,15,216,4750,Female
291,Eclectus Parrot,Solomon Islands,46.4,15.6,221,5000,Male
292,Eclectus Parrot,Solomon Islands,48.2,15.6,221,5100,Male
293,Eclectus Parrot,Solomon Islands,46.5,14.8,217,5200,Female
294,Eclectus Parrot,Solomon Islands,46.4,15,216,4700,Female
295,Eclectus Parrot,Solomon Islands,48.6,16,230,5800,Male
296,Eclectus Parrot,Solomon Islands,47.5,14.2,209,4600,Female
297,Eclectus Parrot,Solomon Islands,51.1,16.3,220,6000,Male
298,Eclectus Parrot,Solomon Islands,45.2,13.8,215,4750,Female
299,Eclectus Parrot,Solomon Islands,45.2,16.4,223,5950,Male
300,Eclectus Parrot,Solomon Islands,49.1,14.5,212,4625,Female
301,Eclectus Parrot,Solomon Islands,52.5,15.6,221,5450,Male
302,Eclectus Parrot,Solomon Islands,47.4,14.6,212,4725,Female
303,Eclectus Parrot,Solomon Islands,50,15.9,224,5350,Male
304,Eclectus Parrot,Solomon Islands,44.9,13.8,212,4750,Female
305,Eclectus Parrot,Solomon Islands,50.8,17.3,228,5600,Male
306,Eclectus Parrot,Solomon Islands,43.4,14.4,218,4600,Female
307,Eclectus Parrot,Solomon Islands,51.3,14.2,218,5300,Male
308,Eclectus Parrot,Solomon Islands,47.5,14,212,4875,Female
309,Eclectus Parrot,Solomon Islands,52.1,17,230,5550,Male
310,Eclectus Parrot,Solomon Islands,47.5,15,218,4950,Female
311,Eclectus Parrot,Solomon Islands,52.2,17.1,228,5400,Male
312,Eclectus Parrot,Solomon Islands,45.5,14.5,212,4750,Female
313,Eclectus Parrot,Solomon Islands,49.5,16.1,224,5650,Male
314,Eclectus Parrot,Solomon Islands,44.5,14.7,214,4850,Female
315,Eclectus Parrot,Solomon Islands,50.8,15.7,226,5200,Male
316,Eclectus Parrot,Solomon Islands,49.4,15.8,216,4925,Male
317,Eclectus Parrot,Solomon Islands,46.9,14.6,222,4875,Female
318,Eclectus Parrot,Solomon Islands,48.4,14.4,203,4625,Female
319,Eclectus Parrot,Solomon Islands,51.1,16.5,225,5250,Male
320,Eclectus Parrot,Solomon Islands,48.5,15,219,4850,Female
321,Eclectus Parrot,Solomon Islands,55.9,17,228,5600,Male
322,Eclectus Parrot,Solomon Islands,47.2,15.5,215,4975,Female
323,Eclectus Parrot,Solomon Islands,49.1,15,228,5500,Male
324,Eclectus Parrot,Solomon Islands,47.3,13.8,216,4725,
325,Eclectus Parrot,Solomon Islands,46.8,16.1,215,5500,Male
326,Eclectus Parrot,Solomon Islands,41.7,14.7,210,4700,Female
327,Eclectus Parrot,Solomon Islands,53.4,15.8,219,5500,Male
328,Eclectus Parrot,Solomon Islands,43.3,14,208,4575,Female
329,Eclectus Parrot,Solomon Islands,48.1,15.1,209,5500,Male
330,Eclectus Parrot,Solomon Islands,50.5,15.2,216,5000,Female
331,Eclectus Parrot,Solomon Islands,49.8,15.9,229,5950,Male
332,Eclectus Parrot,Solomon Islands,43.5,15.2,213,4650,Female
333,Eclectus Parrot,Solomon Islands,51.5,16.3,230,5500,Male
334,Eclectus Parrot,Solomon Islands,46.2,14.1,217,4375,Female
335,Eclectus Parrot,Solomon Islands,55.1,16,230,5850,Male
336,Eclectus Parrot,Solomon Islands,44.5,15.7,217,4875,
337,Eclectus Parrot,Solomon Islands,48.8,16.2,222,6000,Male
338,Eclectus Parrot,Solomon Islands,47.2,13.7,214,4925,Female
339,Eclectus Parrot,Solomon Islands,,,,,
340,Eclectus Parrot,Solomon Islands,46.8,14.3,215,4850,Female
341,Eclectus Parrot,Solomon Islands,50.4,15.7,222,5750,Male
342,Eclectus Parrot,Solomon Islands,45.2,14.8,212,5200,Female
343,Eclectus Parrot,Solomon Islands,49.9,16.1,213,5400,Male
